@relation EvolutionChain

merging,splitting,merging,splitting,shrinking,growing,growing
forming,growing,splitting,merging,splitting,merging,splitting
growing,splitting,merging,splitting,merging,splitting,shrinking
splitting,merging,splitting,merging,splitting,shrinking,growing
merging,splitting,merging,splitting,shrinking,growing,growing
forming,growing,splitting,merging,splitting,merging,splitting
growing,splitting,merging,splitting,merging,splitting,shrinking
splitting,merging,splitting,merging,splitting,shrinking,growing
merging,splitting,merging,splitting,shrinking,growing,growing
forming,continuing,growing,growing,growing,shrinking,shrinking
continuing,growing,growing,growing,shrinking,shrinking,merging
growing,growing,growing,shrinking,shrinking,merging,splitting
forming,continuing,growing,growing,growing,shrinking,shrinking
continuing,growing,growing,growing,shrinking,shrinking,merging
growing,growing,growing,shrinking,shrinking,merging,splitting
growing,growing,shrinking,shrinking,merging,splitting,dissolving
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
shrinking,continuing,merging,splitting,merging,splitting,growing
continuing,merging,splitting,merging,splitting,growing,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
shrinking,continuing,merging,splitting,merging,splitting,growing
continuing,merging,splitting,merging,splitting,growing,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
continuing,growing,growing,growing,shrinking,merging,splitting
growing,growing,growing,shrinking,merging,splitting,merging
growing,growing,shrinking,merging,splitting,merging,splitting
growing,shrinking,merging,splitting,merging,splitting,growing
continuing,growing,growing,growing,shrinking,merging,splitting
growing,growing,growing,shrinking,merging,splitting,splitting
growing,growing,shrinking,merging,splitting,splitting,growing
growing,shrinking,merging,splitting,splitting,growing,growing
shrinking,merging,splitting,splitting,growing,growing,dissolving
continuing,growing,growing,growing,shrinking,merging,splitting
growing,growing,growing,shrinking,merging,splitting,merging
growing,growing,shrinking,merging,splitting,merging,splitting
growing,shrinking,merging,splitting,merging,splitting,growing
continuing,growing,growing,growing,shrinking,merging,splitting
growing,growing,growing,shrinking,merging,splitting,merging
growing,growing,shrinking,merging,splitting,merging,splitting
growing,shrinking,merging,splitting,merging,splitting,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
merging,splitting,growing,growing,shrinking,growing,dissolving
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
growing,shrinking,shrinking,growing,growing,shrinking,merging
shrinking,shrinking,growing,growing,shrinking,merging,splitting
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
merging,splitting,growing,growing,shrinking,growing,dissolving
forming,shrinking,growing,shrinking,growing,growing,shrinking
shrinking,growing,shrinking,growing,growing,shrinking,merging
growing,shrinking,growing,growing,shrinking,merging,splitting
forming,shrinking,growing,shrinking,growing,growing,shrinking
shrinking,growing,shrinking,growing,growing,shrinking,merging
growing,shrinking,growing,growing,shrinking,merging,splitting
forming,shrinking,growing,shrinking,growing,growing,shrinking
shrinking,growing,shrinking,growing,growing,shrinking,merging
growing,shrinking,growing,growing,shrinking,merging,splitting
shrinking,growing,growing,shrinking,merging,splitting,dissolving
forming,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
forming,merging,splitting,merging,splitting,growing,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
forming,merging,splitting,merging,splitting,growing,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
forming,growing,merging,splitting,merging,splitting,growing
growing,merging,splitting,merging,splitting,growing,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
forming,growing,merging,splitting,merging,splitting,growing
growing,merging,splitting,merging,splitting,growing,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
forming,merging,splitting,splitting,growing,growing,dissolving
forming,growing,shrinking,growing,shrinking,growing,shrinking
forming,growing,growing,merging,splitting,merging,splitting
growing,growing,merging,splitting,merging,splitting,growing
growing,merging,splitting,merging,splitting,growing,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
forming,growing,growing,merging,splitting,merging,splitting
growing,growing,merging,splitting,merging,splitting,growing
growing,merging,splitting,merging,splitting,growing,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
forming,growing,splitting,merging,splitting,merging,splitting
growing,splitting,merging,splitting,merging,splitting,growing
splitting,merging,splitting,merging,splitting,growing,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
forming,growing,splitting,merging,splitting,merging,splitting
growing,splitting,merging,splitting,merging,splitting,growing
splitting,merging,splitting,merging,splitting,growing,growing
merging,splitting,merging,splitting,growing,growing,shrinking
splitting,merging,splitting,growing,growing,shrinking,growing
merging,splitting,growing,growing,shrinking,growing,dissolving
